tconst,startYear,genres,runtimeMinutes,akas_title,averageRating,overview,poster_path,production_countries,primaryName,overview_fr
tt0057466,1963,"['Animation', ' Documentary', ' Short']",30,Salut les Cubains,7.5,"A photo montage of Cubans filmed by Agnès Varda during her visit to Cuba in 1963, four years after Fidel Castro came to power. This black & white documentary explores their post-revolution culture and society while making use of 1500 pictures (out of 4000!) the filmmaker took while on the island.",/b5edMM3FNPsLre7Rb86s7odgNcI.jpg,"['CU', '  FR']",['Agnès Varda'],"Un montage photographique de Cubains filmé par Agnès Varda lors de sa visite à Cuba en 1963, quatre ans après l'arrivée au pouvoir de Fidel Castro. Ce documentaire en noir et blanc explore leur culture et leur société post-révolutionnelles tout en utilisant 1500 images (sur 4000 !) prises par le cinéaste sur l'île."
tt0058472,1964,"['Animation', ' Comedy', ' Family']",7,La Vie en rose,7.6,A house painter can't understand why everything he paints blue turns pink.,/kL0y9I2pYc0RFJCSHnFOEX9YLJ7.jpg,['US'],['Friz Freleng'],Un peintre de maison ne comprend pas pourquoi tout ce qu'il peint est rose.
tt0059146,1966,"['Drama', ' Short']",19,Élégie,7.4,Often called a “film poem” or a “film symphonie” Huszárik’s masterpiece consists of montages of horses from the dawn of time to the modern times from cave paintings to horse races. (MUBI),/kM4V4NJVEEHSAHJ8aePaM42QDKc.jpg,['HU'],['Zoltán Huszárik'],"Souvent appelé un poème de film ou une symphonie de film de Huszárik, le chef-d'œuvre de Huszárik se compose de montages de chevaux de l'aube du temps jusqu'aux temps modernes, des peintures de grottes aux courses de chevaux. (MUBI)"
tt0059613,1963,"['Comedy', ' Family', ' Short']",15,Le poulet,7.0,"The Chicken [Le Poulet] is a 1965 French short comedy film directed by Claude Berri. The film follows a father, mother, and son who go to visit a chicken farm. The son catches and brings home a chicken. The father plans to eat it if the chicken doesn't lay eggs. The boy aims to save the chicken and comedy ensues. It won an Oscar in 1966 for Best Short Subject.",/4dGsTYQOJU9YbBHPQFC3Nb1jp2x.jpg,['FR'],['Claude Berri'],"Le Poulet est un film français réalisé par Claude Berri, sorti en 1965. Il suit un père, une mère et un fils qui vont visiter une ferme de poulets. Le fils attrape et ramène un poulet à la maison. Le père prévoit de le manger si le poulet ne pond pas d'oeufs. Le garçon vise à sauver le poulet et la comédie qui s'ensuit. Il a remporté un Oscar en 1966 pour Best Short Subject."
tt0059631,1965,"['Comedy', ' Short']",24,The Railrodder,7.0,"After literally swimming across the Atlantic Ocean, an Englishman takes a country trip across Canada on a railcar.",/cUmMg7adLloEPon09uOMmuCmIyp.jpg,['CA'],['Gerald Potterton'],"Après avoir littéralement traversé l'océan Atlantique, un Anglais fait un voyage à travers le Canada sur un wagon."
tt0059936,1966,"['Drama', ' Short']",30,Rites d'amour et de mort,7.4,Two characters on a Noh stage dramatize the rite of love and death of Lieutenant Shinji Takeyama and his wife Reiko.,/cNfpYGN2ALvg6qmSL2wek84umHO.jpg,['JP'],['Yukio Mishima'],Deux personnages sur une scène de Noh dramatisent le rite de l'amour et de la mort du lieutenant Shinji Takeyama et de sa femme Reiko.
tt0060183,1963,"['Drama', ' Short']",20,L'Homme A La Charrette,7.2,"A cart-taxi driver goes to the city to make a living, but out of sympathy with other poverty-stricken people, he works for free and goes hungry himself.",/buWO5ZM894iVymerDmiFCEZDkNv.jpg,['SN'],"['Ousmane Sembene', ' Ousmane Sembene']","Un chauffeur de charrette-taxi va à la ville pour gagner sa vie, mais par sympathie avec d'autres personnes frappées par la pauvreté, il travaille gratuitement et va faim lui-même."
tt0060410,1965,"['Drama', ' Short']",20,Film,7.4,A man attempts to evade observation by an all-seeing eye.,/tPkgBEpq1Rx7wcTFEjZFRhbTLrd.jpg,['US'],"['Alan Schneider', ' Samuel Beckett']",Un homme tente d'échapper à l'observation par un œil tout-voyant.
tt0061199,1966,"['Animation', ' Comedy', ' Family']",25,Winnie l'ourson,8.0,Christopher Robin's bear attempts to raid a beehive in a tall tree.,/7Y0F2gWQwbEmh0d3TGIAMguIv4S.jpg,['US'],"['Wolfgang Reitherman', ' Wolfgang Reitherman']",L'ours de Christopher Robin tente de fouiner une ruche dans un grand arbre.
tt0062770,1968,"['Animation', ' Comedy', ' Fantasy']",13,L'appartement,7.6,"A nondescript man is trapped in a sinister flat, where nothing seems to obey the laws of nature.",/lKGEzUH9UgWlGJaWQDRylfbijB6.jpg,['XC'],['Jan Svankmajer'],"Un homme non descripteur est piégé dans un appartement sinistre, où rien ne semble obéir aux lois de la nature."
tt0063819,1968,"['Animation', ' Comedy', ' Family']",25,Winnie l'ourson dans le vent,7.9,"Winnie the Pooh and his friends experience high winds, heavy rains, and a flood in Hundred Acre Wood.",/5kNFx8GW0zgtLDkhfNBOMMVmJTX.jpg,['US'],['Wolfgang Reitherman'],"Winnie le Pooh et ses amis vivent des vents violents, de fortes pluies et une inondation dans le bois de Cent Acre."
tt0065794,1970,"['Animation', ' Horror', ' Short']",34,The Grandmother,7.1,"To escape neglect and abuse from his parents, a young boy plants some strange seeds and they grow into a grandmother.",/llhiY0rV6RWU1LOdy9Zljhf7cXm.jpg,['US'],['David Lynch'],"Pour échapper à la négligence et à l'abus de ses parents, un jeune garçon plante des graines étranges et grandit en grand - mère."
tt0065947,1970,"['Documentary', ' Horror', ' Short']",10,L'ossuaire,7.0,"A non-narrative voyage round Sedlec Ossuary, which has been constructed from over 50,000 human skeletons (victims of the Black Death).",/1Np85CoNeasBcANNz3ql5dgqP1I.jpg,['XC'],['Jan Svankmajer'],"Un voyage non narratif autour de l'Ossuaire de Sedlec, qui a été construit à partir de plus de 50 000 squelettes humains (victimes de la Mort Noire)."
tt0066127,1970,"['Drama', ' Short']",10,Le pain et la rue,7.0,"Returning from an errand to buy bread, a boy finds a menacing dog blocking his way through the alley he must go down to get home. Frightened by the dog's barking, he asks various passers-by for help but no-one pays him any attention, and he must find a solution all by himself: he throws the dog a piece of bread and, while the animal is devouring it, he continues on his way home.",/mg0DTTYXo1iBJttEZ4jiyHaxGmI.jpg,['IR'],['Abbas Kiarostami'],"Retournant d'une course pour acheter du pain, un garçon trouve un chien menaçant qui bloque son chemin dans l'allée, il doit descendre pour rentrer chez lui. Effrayé par l'aboiement du chien, il demande à divers passants de l'aider, mais personne ne lui prête attention, et il doit trouver une solution tout seul: il jette le chien un morceau de pain et, pendant que l'animal le dévore, il continue sur son chemin à la maison."
tt0066813,1971,"['Animation', ' Short', ' War']",10,La bataille de Kerjenets,7.0,"The story is based on the legend of the Invisible City of Kitezh, which disappears under the waters of a lake to escape an attack by the Mongols.",/4wmCU1zvbYROMqHNClmIQ71QOg6.jpg,['SU'],"['Ivan Ivanov-Vano', ' Yuri Norstein']","L'histoire est basée sur la légende de la ville invisible de Kitezh, qui disparaît sous les eaux d'un lac pour échapper à une attaque des Mongols."
tt0071608,1974,"['Animation', ' Short']",10,Le héron et la cigogne,7.2,Animated short about a love between a heron and a crane.,/exczBuiSq7FTMtvfdIzmBHwXUK1.jpg,['SU'],['Yuri Norstein'],Animé court à propos d'un amour entre un héron et une grue.
tt0072410,1974,"['Animation', ' Comedy', ' Family']",25,Winnie l'ourson et le Tigre fou,7.8,"Rabbit is tired of Tigger always bouncing him, so he gets Pooh and Piglet together to come up with an idea to get the bounce out of Tigger. Then, Tigger and little Roo go out for a bounce and get caught in a tree.",/331cCojxS1JJhPmit4wsOebBPGF.jpg,['US'],['John Lounsbery'],"Lapin en a marre que Tigger le rebondisse toujours, alors il obtient Pooh et Piglet ensemble pour trouver une idée pour obtenir le rebond de Tigger. Puis, Tigger et petit Roo sortir pour un rebond et se faire prendre dans un arbre."
tt0073099,1975,"['Animation', ' Drama', ' Family']",11,Le petit hérisson dans la brume,8.1,"A little hedgehog, on the way to visit his friend the bear, gets lost in thick fog, where horses, dogs and even falling leaves take on a terrifying new aspect...",/8h7tFBmvwyrHEQXhDCzQWE1ii8j.jpg,['SU'],"['Yuri Norstein', ' Yuri Norstein']","Un petit hérisson, en route pour rendre visite à son ami l'ours, se perd dans le brouillard épais, où les chevaux, les chiens et même les feuilles tombantes prennent un nouvel aspect terrifiant..."
tt0075863,1977,['Short'],22,Colloque de chiens,7.2,"A charming tale of murder, perversity and narrative echoes told through shots of barking dogs and a La jetée-like series of stills.",/63IAGXGSBbyfMhs99B48WZRBDoQ.jpg,['FR'],['Raúl Ruiz'],"Une charmante histoire de meurtre, de perversité et d'échos narratifs racontés par des coups de feu de chiens aboyants et d'une série d'imbéciles ressemblant à La jetée."
tt0076741,1977,"['Biography', ' Documentary', ' Short']",31,La Soufrière,7.5,"Werner Herzog takes a film crew to the island of Guadeloupe when he hears that the volcano on the island is going to erupt. Everyone has left, except for one old man who refuses to leave.",/yNoPeBRIE4zEgVBpgPLx2n1gNgS.jpg,"['DE', '  GP']",['Werner Herzog'],"Werner Herzog emmène une équipe de tournage sur l'île de Guadeloupe lorsqu'il apprend que le volcan de l'île va éclater. Tout le monde est parti, sauf un vieil homme qui refuse de partir."
tt0078281,1978,"['Animation', ' Drama', ' Family']",26,Mon petit Âne,7.5,"Ordered by his father to sell his old, small donkey, Small One, a Hebrew boy in ancient Israel takes the donkey to the Jerusalem market. Finding no buyers there, the boy is about to give up when he meets a kind man named Joseph. Joseph buys Small One and uses him to take his pregnant wife Mary to Bethlehem.",/dumrBarjoCd7tSarOYSRLiPFcPC.jpg,['US'],['Don Bluth'],"Ordonné par son père à vendre son vieil âne, petit âne, un garçon hébreu dans l'ancien Israël emmène l'âne au marché de Jérusalem. Ne trouvant pas d'acheteurs, le garçon est sur le point d'abandonner quand il rencontre un homme gentil nommé Joseph. Joseph achète petit et l'utilise pour emmener sa femme enceinte Marie à Bethléem."
tt0078516,1979,"['Documentary', ' Short']",17,Le point de vue du gardien de nuit,7.3,"At the time of the Polish social regime, a security officer is promoted to work at a prison yard. Introducing concurrently with the narrator; he speaks of himself, his thoughts, his point of view.",/reFHXC1Qdb8XeXb9DQM53uzakKF.jpg,['PL'],['Krzysztof Kieslowski'],"Au moment du régime social polonais, un agent de sécurité est promu pour travailler dans une cour de prison. Introduire en même temps que le narrateur; il parle de lui-même, de ses pensées, de son point de vue."
tt0079986,1979,"['Animation', ' Short']",29,Le conte des contes,7.8,"Skazka Skazok (Tale of Tales) is a 27-minute animated short film, considered the masterpiece of influential Russian animator Yuri Norstein. Told in a non-narrative style by free association, the film employs various techniques including puppets, cut-outs, and traditional cell animation. Using classical music and '30s jazz tunes instead of dialogue.",/pSj2AekD8xK4vklV7JTRBNVngrc.jpg,['SU'],['Yuri Norstein'],"Skazka Skazok (Tale of Tales) est un court métrage d'animation de 27 minutes, considéré comme le chef-d'œuvre de l'animateur russe influent Yuri Norstein. Le film utilise diverses techniques, notamment des marionnettes, des découpes et de l'animation cellulaire traditionnelle."
tt0080755,1989,"['Comedy', ' Short']",8,"Foutaises, catalogue nostalgique des plaisirs de la vie",7.6,"Dominique Pinon takes the viewer through various examples of what he ""likes and dislikes.""",/qn1yUFB93EZUyqn17n7zSclMhQF.jpg,['FR'],"['Jean-Pierre Jeunet', ' Jean-Pierre Jeunet']",Dominique Pinon prend le spectateur à travers divers exemples de ce qu'il « aime et n'aime pas ».
tt0080770,1980,"['Biography', ' Documentary', ' Short']",16,Têtes parlantes,8.0,"People of different age, profession and social status answer two simple questions: who they are and what they want from life.",/9lBolLk3CrWjkyPW39KkPx5eG87.jpg,['PL'],"['Krzysztof Kieslowski', ' Krzysztof Kieslowski']","Les personnes d'âge, de profession et de statut social différents répondent à deux questions simples : qui ils sont et ce qu'ils veulent de la vie."
tt0081040,1980,"['Animation', ' Comedy', ' Drama']",3,La mouche,7.5,"A fine day in the life of a fly presented completely from the fly's point of view. A fine day until something dreary happens, that is.",/v6JKhmA8Jbf6ka4UUzNUlb5jVsZ.jpg,['HU'],['Ferenc Rofusz'],"Une belle journée dans la vie d'une mouche présentée complètement du point de vue de la mouche. Une belle journée jusqu'à ce que quelque chose de sinistre arrive, c'est-à-dire."
tt0082209,1980,"['Animation', ' Drama', ' Family']",15,Crac,7.4,This short animation takes as its protagonist a wooden rocking chair that serves as a tool to delve in no more than 15 minutes on a journey through the history of Quebec in the last century.,/8fgvKKoZw3Pcg4cHAgLWBsILNoM.jpg,['CA'],['Frédéric Back'],Cette courte animation prend comme protagoniste une chaise à bascule en bois qui sert d'outil pour plonger en seulement 15 minutes dans un voyage à travers l'histoire du Québec au siècle dernier.
tt0084046,1982,"['Drama', ' Short']",17,Le choeur,7.2,An old man with a hearing aid tires of listening to the noises of the town. But when he takes his aid out he can't hear his grandchildren coming to see him.,/xQjghQBeA6H2dLT6HtFMdSJTcIF.jpg,['IR'],['Abbas Kiarostami'],"Un vieil homme avec des pneus auditifs d'écouter les bruits de la ville. Mais quand il prend son aide, il ne peut pas entendre ses petits-enfants venir le voir."
tt0084362,1983,"['Animation', ' Comedy', ' Fantasy']",12,Les possibilités du dialogue,8.1,A three-part depiction of various forms of communication.,/frllemYfEue2vgcqKUY5HASb2ub.jpg,['XC'],['Jan Svankmajer'],Une représentation en trois parties de diverses formes de communication.
tt0085448,1983,"['Animation', ' Fantasy', ' Horror']",15,Dans la cave,7.5,"A little girl goes down to the basement cellar to fetch some potatoes, and finds all her hidden fears about the cellar depicted in animated form.",/1fiFXg7zvIUWXe9CgISV2id91IF.jpg,['XC'],['Jan Svankmajer'],"Une petite fille descend à la cave du sous-sol pour aller chercher des pommes de terre, et trouve toutes ses craintes cachées au sujet de la cave représentée sous forme animée."
tt0085816,1983,"['Animation', ' Fantasy', ' Horror']",15,"Le puits, le pendule et l'espoir",7.6,"A short film based on Edgar Allan Poe's ""The Pit and the Pendulum"" and Auguste Villiers de l'Isle-Adam's ""A Torture by Hope"".",/pEF1m8IgACAtoEoHEJ6UwcAuofR.jpg,['XC'],['Jan Svankmajer'],"Un court métrage basé sur ""The Pit and the Pendulum"" d'Edgar Allan Poe et ""A Torture by Hope"" d'Auguste Villiers de l'Isle-Adam."
tt0085936,1983,"['Animation', ' Comedy', ' Family']",26,Le Noël de Mickey,8.0,"Ebenezer Scrooge is far too greedy to understand that Christmas is a time for kindness and generosity. But with the guidance of some new found friends, Scrooge learns to embrace the spirit of the season. A retelling of the classic Dickens tale with Disney's classic characters.",/9YiAyAPidplNerey3ngCz9u7TJM.jpg,['US'],['Burny Mattinson'],"Ebenezer Scrooge est beaucoup trop gourmand pour comprendre que Noël est un moment de gentillesse et de générosité. Mais avec la direction de nouveaux amis trouvés, Scrooge apprend à embrasser l'esprit de la saison."
tt0087521,1984,"['Animation', ' Comedy', ' Family']",7,Le saut,7.4,"A boy walks down the street and as he goes along his strides increase. Eventually he leaps over towns, forests, and oceans, seeing many things and surprising many people along the way.",/qKXTyG6JNfmWsgurIl2PyQ4a2SO.jpg,['JP'],['Osamu Tezuka'],"Un garçon se promène dans la rue et, au fur et à mesure qu'il progresse, il saute au-dessus des villes, des forêts et des océans, voyant beaucoup de choses et surprenant beaucoup de gens le long du chemin."
tt0088856,1985,"['Animation', ' Comedy', ' Music']",6,Le film cassé,7.1,"A cowboy seeks to rescue, then woo, a damsel in distress. But he is constantly thwarted by the scratches, breaks, and other imperfections present in the film print itself.",/hP0I7MQCGvHCOCyZH850eWFFann.jpg,['JP'],['Osamu Tezuka'],"Un cow-boy cherche à sauver, puis woo, une demoiselle en détresse. Mais il est constamment déjoué par les rayures, les ruptures, et d'autres imperfections présentes dans le film lui-même."
tt0089050,1985,"['Documentary', ' Short']",37,Le rêve est vivant,7.6,"The Dream Is Alive takes you into space alongside the astronauts on the space shuttle. Share with them the delights of zero gravity while working, eating and sleeping in orbit around the Earth. Float as never before over the towering Andes, the boot of Italy, Egypt and the Nile. Witness firsthand a tension-filled satellite capture and repair and the historic first spacewalk by an American woman.",/kkFWNp7eXfDJaUpUtZUexiEBFC9.jpg,"['CA', '  US']",['Graeme Ferguson'],"Le Rêve est vivant vous emmène dans l'espace aux côtés des astronautes sur la navette spatiale. Partagez avec eux les délices de la gravité zéro tout en travaillant, en mangeant et en dormant en orbite autour de la Terre. Float comme jamais auparavant sur les Andes imposantes, la botte d'Italie, l'Egypte et le Nil. Témoin de première main une capture et réparation satellite remplie de tension et la première promenade historique par une femme américaine."
tt0090862,1989,['Short'],8,"Café et cigarettes, version Memphis",7.1,"A brother and sister, sitting in a coffee bar, bicker mildly about whose idea it was to come to Memphis and which kind of cigarette is fresher. Danny, their waiter, comes by offering refills; after determining they are twins, he guesses which is the evil one. Without a pause, he sits down and offers his theory about Elvis's twin. He drones on. The good twin finally speaks up, giving her own opinion. The waiter is unfazed. After his boss finally calls him back to work, the twins are free to resume their bickering amidst the coffee and cigarettes.",/yHBVwbMkeHLZoeBH13vcoSm11D0.jpg,['US'],['Jim Jarmusch'],"Un frère et une sœur, assis dans un café-bar, bicker légèrement à propos de qui il était l'idée de venir à Memphis et quel genre de cigarette est plus frais. Danny, leur serveur, vient en offrant des recharges; après avoir déterminé qu'ils sont jumeaux, il devine qui est le mal. Sans une pause, il s'assoit et offre sa théorie sur le jumeau d'Elvis. Il drones sur. Le bon jumeau parle finalement, donnant son propre avis. Le serveur est non défait. Après que son patron le rappelle enfin au travail, les jumeaux sont libres de reprendre leur biquer au milieu du café et des cigarettes."
tt0091455,1986,"['Animation', ' Comedy', ' Family']",2,Luxo Jr.,7.3,"A baby lamp finds a ball to play with and it's all fun and games until the ball bursts. Just when the elder Luxo thinks his kid will settle down for a bit, Luxo Jr. finds a ball ten times bigger.",/as8xF0wOawngZ1G3qg5gs0VQea3.jpg,['US'],['John Lasseter'],"Une lampe pour bébé trouve une balle avec laquelle jouer et tout est amusant et des jeux jusqu'à ce que la balle éclate. Juste quand l'aîné Luxo pense que son enfant va s'installer un peu, Luxo Jr. trouve une balle dix fois plus grande."
tt0092020,1986,"['Animation', ' Short']",20,La rue des crocodiles,7.6,"A puppet, newly released from his strings, explores the sinister room in which he finds himself.",/vt4txw8qVB6IMqNgncJ2jBF4G1j.jpg,['GB'],"['Stephen Quay', ' Timothy Quay']","Une marionnette, récemment libérée de ses cordes, explore la salle sinistre dans laquelle il se trouve."
tt0093488,1987,"['Animation', ' Drama', ' Family']",30,L'Homme qui plantait des arbres,8.5,The story of one shepherd's single-handed quest to re-forest a desolate valley in the foothills of the French Alps throughout the first half of the 20th century.,/un0NjREDaLEWWOTr7tE52MjQY6O.jpg,['CA'],['Frédéric Back'],L'histoire d'une quête solitaire d'un berger pour reboiser une vallée déserte dans les contreforts des Alpes françaises tout au long de la première moitié du XXe siècle.
tt0095683,1988,"['Animation', ' Comedy', ' Horror']",14,Le jeu viril,7.4,"A man sits down to watch a football match, which seems to consist of the players being violently mutilated in various inventive ways. The players then leave the football pitch and invade the spectator's flat...",/dSHKolE6YSToQqyAeUD4G1fz4Jo.jpg,['XC'],['Jan Svankmajer'],"Un homme s'assied pour assister à un match de football, qui semble consister à mutiler violemment les joueurs de diverses manières inventives. Les joueurs quittent alors le terrain de football et envahissent l'appartement du spectateur..."
tt0095968,1988,"['Animation', ' Short']",14,Répétitions pour des anatomies défuntes,7.1,"Stop-motion animated short film in which, among other things, a man made of wire looks malevolent.",/uEsysj0YtoCi626MYJVngLRo2d.jpg,['GB'],"['Stephen Quay', ' Timothy Quay']","Stop-motion film d'animation court dans lequel, entre autres choses, un homme fait de fil semble malveillance."
tt0097118,1989,"['Animation', ' Drama', ' Short']",10,La vache,7.4,Animated short based on the story of the same name by Andrei Platonov.,/jLuwNjef9OoFIkh0EfQn2kz3rIg.jpg,['SU'],['Aleksandr Petrov'],Short animé basé sur l'histoire du même nom par Andrei Platonov.
tt0097564,1989,"['Documentary', ' Short']",13,L'île aux fleurs,8.5,"A tomato is planted, harvested and sold at a supermarket, but it rots and ends up in the trash. But it doesn’t end there: Isle of Flowers follows it up until its real end, among animals, trash, women and children. And then the difference between tomatoes, pigs and human beings becomes clear.",/sGLv72iYI46tNldBSjYp4GIz1sw.jpg,['BR'],['Jorge Furtado'],"Une tomate est plantée, récoltée et vendue dans un supermarché, mais elle pourrit et finit dans la poubelle. Mais elle ne s'arrête pas là: l'île de Fleurs la suit jusqu'à sa vraie fin, parmi les animaux, les ordures, les femmes et les enfants. Et puis la différence entre les tomates, les porcs et les êtres humains devient claire."
tt0097674,1989,"['Animation', ' Comedy', ' Family']",4,Knick Knack,7.4,"Life on a shelf as a snowman trapped in a snow-globe blizzard can become wearing, especially when you're surrounded by knickknacks from sunnier locales. When the jaded snowman finally breaks free of his glass house, his vacation plans are cut short.",/iqr00hLhy2eHvjuAnTbNVcb0Bl4.jpg,['US'],['John Lasseter'],"La vie sur une étagère comme un bonhomme de neige piégé dans un blizzard enneigé peut devenir porteuse, surtout lorsque vous êtes entouré de knickknacks des plus ensoleillés locaux. Lorsque le bonhomme de neige débarque enfin de sa maison en verre, ses plans de vacances sont coupés."
